IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
152.53.153.86,152.53.153.86,443,1.5,DE,FRA,174.86,189.42
152.53.137.145,152.53.137.145,8443,1.5,DE,FRA,174.89,186.54
95.164.123.31,95.164.123.31,2053,1.5,DE,FRA,156.76,162.91
89.22.234.242,89.22.234.242,443,1.5,DE,ARN,188.03,331.48
91.99.222.109,91.99.222.109,443,1.5,DE,FRA,164.8,181.8
152.53.225.188,152.53.225.188,8443,1.5,DE,FRA,174.57,202.45
178.20.209.237,178.20.209.237,443,1.49,DE,FRA,165.04,190.82
89.58.32.18,89.58.32.18,8443,1.49,DE,FRA,171.12,189.44
47.245.131.215,47.245.131.215,8443,1.49,DE,FRA,166.51,176.43
194.164.234.15,194.164.234.15,443,1.48,DE,FRA,157.21,172.5
80.76.32.165,80.76.32.165,443,1.48,DE,FRA,153.43,171.72
64.188.64.147,64.188.64.147,443,1.48,DE,FRA,162.43,175.94
213.21.246.96,213.21.246.96,8443,1.48,DE,MXP,193.12,275.98
94.228.168.17,94.228.168.17,443,1.48,DE,FRA,172.47,184.53
91.186.213.30,91.186.213.30,443,1.48,DE,ARN,192.92,253.66
109.120.185.37,109.120.185.37,443,1.48,DE,MXP,209.83,292.61
193.26.158.212,193.26.158.212,443,1.48,DE,FRA,166.18,186.41
5.39.249.170,5.39.249.170,443,1.47,DE,FRA,169.96,180.45
152.53.153.86,152.53.153.86,8443,1.47,DE,FRA,179.97,191.02
142.132.178.99,142.132.178.99,443,1.47,DE,FRA,158.01,192.99
152.53.15.90,152.53.15.90,8443,1.46,DE,FRA,156.32,184.97
45.147.228.249,45.147.228.249,443,1.46,DE,FRA,168.44,189.83
167.172.187.174,167.172.187.174,443,1.46,DE,FRA,153.82,165.3
94.16.113.129,94.16.113.129,443,1.46,DE,FRA,180.48,191.68
94.16.113.94,94.16.113.94,8443,1.45,DE,FRA,170.3,181.22
152.53.247.161,152.53.247.161,8443,1.45,DE,FRA,176.54,184.6
116.202.132.205,2a01:4f8:231:4c65::2,443,1.45,DE,FRA,167.78,187.48
5.101.82.222,5.101.82.222,443,1.45,DE,FRA,148.78,180.67
78.17.56.93,78.17.56.93,443,1.45,DE,FRA,158.19,162.85
83.219.249.189,83.219.249.189,443,1.44,DE,FRA,168.39,188.09
109.237.97.1,109.237.97.1,443,1.44,DE,FRA,178.89,171.83
37.120.190.141,37.120.190.141,8443,1.44,DE,FRA,171.18,182.74
193.26.157.75,193.26.157.75,8443,1.44,DE,FRA,166.93,178.36
213.21.251.234,213.21.251.234,443,1.43,DE,MXP,195.71,272.63
152.53.227.156,152.53.227.156,8443,1.43,DE,FRA,173.09,188.22
91.184.242.250,91.184.242.250,443,1.42,DE,FRA,175.11,195.04
167.71.45.93,167.71.45.93,8443,1.42,DE,FRA,158.04,171.77
198.105.115.82,198.105.115.82,443,1.42,DE,FRA,154.66,172.43
152.53.15.90,152.53.15.90,443,1.41,DE,FRA,162.64,194.14
91.186.212.186,91.186.212.186,443,1.41,DE,MXP,199.7,310.64
152.53.138.139,152.53.138.139,443,1.41,DE,FRA,173.81,203.52
194.33.34.206,194.33.34.206,443,1.41,DE,FRA,177.05,204.88
